num_dossier,nom_site,date_creasite,adresse,quartier,secteur,commune,ev_tabac,ev_proprietaire,nb_acces,ev_fermable,ev_typologie,nb_arbres,acces_pmr
CSTR_000153,Accot.8 rue des Faisses,,RUE ANTOINE FIRBO,,,Castries,,,,,2. Acc. de voiries,,
,NEW EV 5 Av. de la Camargue,,,,,Baillargues,,3M,,,13. Placette,,
,NEW EV1 Parking rue du Camarguais d'Or,,,,,Pérols,,,,,,,
,NEW EV2 Parking rue du Camarguais d'Or,,,,,Pérols,,,,,,,
,NEW Rond-Point Saint-Vincent,,,,,Pérols,,,,,,,
,NEW Placette de Tassigny,,,,,Pérols,,,,,,,
,NEW Jarnière rue de la Guette,,,,,Pérols,,,,,,,
,NEW EV 2 Place du Taureau,,,,,Baillargues,,3M,,,13. Placette,,
,NEW EV 6 Av. de la Camargue,,,,,Baillargues,,3M,,,13. Placette,,
,NEW EV 6 Av. de la Camargue,,,,,Baillargues,,3M,,,13. Placette,,
,NEW EV 7 Av. de la Camargue,,,,,Baillargues,,3M,,,13. Placette,,
,NEW EV 8 Av. de la Camargue,,,,,Baillargues,,3M,,,13. Placette,,
,NEW Bassin Monteillet,,,,,Villeneuve-Lès-Maguelone,,Privé,,,,,
,NEW Abord 2 Route de Montpellier,,,,,Sussargues,,Commune,,,,,
,NEW EV 1 rue Massacan,,,,,Vendargues,,3M,,,2. Acc. de voiries,,
FABR_000021,Parcours de santé 2 commune,, ,,,Fabrègues,,,,,9. Espaces de nature,1,
,NEW Chemin Jardin mexicain,,,,,Sussargues,,3M,,,19. Espaces verts autres,,
,NEW Talus 2 av. de Lahntal,,,,,Sussargues,,3M,,,2. Acc. de voiries,,
,NEW Bassin Giratoire Noureev,,,,,Juvignac,,3M,,,10. Bassins de rétention,,
,NEW Bassin  Chêne blanc,,,,,Juvignac,,3M,,,10. Bassins de rétention,,
VEND_000199,Abord 1 et accot. D 65 Rond-Point  entrée  rue de la Garenne - D 65,,RUE DE LA GARENNE,,,Vendargues,,,,,2. Acc. de voiries,,
,NEW Bassin Prométhée,,,,,Juvignac,,3M,,,10. Bassins de rétention,,
,NEW Bassin des chanterelles,,,,,Saint-Georges-d'Orques,,3M,,,10. Bassins de rétention,,
,NEW Bassin K,,,,,Grabels,,3M,,,10. Bassins de rétention,,
,NEW Bassin J,,,,,Grabels,,3M,,,10. Bassins de rétention,,
,NEW Bassin I,,,,,Grabels,,3M,,,10. Bassins de rétention,,
SAUS_000023,Bois de la Garenne,, ,,,Saussan,,,,,9. Espaces de nature,1,
CNSC_000125,Liaison verte Lous Clacs,, ,,,Cournonsec,,,,,9. Espaces de nature,1,
CNTL_000220,Allée le long du Lac,, ,,,Cournonterral,,,,,9. Espaces de nature,1,
FABR_000102,Aire d'activités,, ,,,Fabrègues,,,,,9. Espaces de nature,1,
BAIL_000056,Parking Lino Ventura,,PLACE LINO VENTURA,,,Baillargues,,,,,11. Parking,,
CSTR_000190,EV Accot. Crèche,,RUE DE LA GUESSE,,,Castries,,Commune,,,6. Espaces verts écoles et crèches,,
,NEW EV 2 rue Massacan,,,,,Vendargues,,3M,,,2. Acc. de voiries,,
,NEW Accot. 5 Nord Rue de la Garenne,,,,,Vendargues,,3M,,,2. Acc. de voiries,,
CSTR_000178,Passage (Longueur) rue de la Bourgine,,RUE DE LA BOURGINE,,,Castries,,,,,9. Espaces de nature,,
,NEW Accot. 8 Nord Rue de la Garenne,,,,,Vendargues,,3M,,,2. Acc. de voiries,,
,NEW Accot. 2 Nord Rue de la Garenne,,,,,Vendargues,,3M,,,2. Acc. de voiries,,
,NEW Accot. 3 Nord Rue de la Garenne,,,,,Vendargues,,3M,,,2. Acc. de voiries,,
,,,,,,,,,,,,,
PERO_000321,Accot. 1 route de Lattes,,ROUTE DE LATTES,,,Pérols,,,,,2. Acc. de voiries,,
CSTR_000173,Accot.5 rue des Faisses,,RUE DE L ENCLOS JOUVENEL,,,Castries,,,,,2. Acc. de voiries,,
,,,,,,,,,,,,,
,NEW Accot. 3 Av. Mendes France,,,,,Vendargues,,3M,,,2. Acc. de voiries,,
,NEW EV 4 Mail Mékong,,,,,Vendargues,,3M,,,13. Placette,,
CRES_000523,EV 3 Parking Collège,,RUE OLYMPIE,,,Le Crès,,,,,11. Parking,,
CSTR_000185,Placette 1 Rue de la Colline,,RUE DE LA COLLINE,,,Castries,,,,,14. Placette de lotissement,,
,NEW EV 5 Mail Mékong,,,,,Vendargues,,3M,,,13. Placette,,
LATT_000632,Accot. 5 Ext. Prom. de la Vasque,,PROMENADE DE LA VASQUE,,,Lattes,,,,,19. Espaces verts autres,,
,,,,,,,,,,,,,
New Pied arbre5  Av de la capelado,,,,,,Castries,,Région,,,2. Acc. de voiries,,
New Accot.6 av de la Capelado,,,,,,Castries,,Région,,,2. Acc. de voiries,,
New Bassin av des Gardian,,,,,,Castries,,Région,,,10. Bassins de rétention,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
New 1 Bassin av des gardians,,,,,,Castries,,Région,,,10. Bassins de rétention,,
,,,,,,,,,,,,,
New panneaux solaires Av des Razeteurs,,,,,,Castries,,Région,,,11. Parking,,
,,,,,,,,,,,,,
New Piedarbre14 Av de la capelado,,,,,,Castries,,Région,,,2. Acc. de voiries,,
New PiedArbre15 Av de la Capelado,,,,,,Castries,,Région,,,2. Acc. de voiries,,
,NEW Abord Ouest Bassin de rétention 3 Rue du Clos de Viviers,,,,,Jacou,,,,,9. Espaces de nature,,
BAIL_000064,Accot .3 Route de Nîmes,,ROUTE DE NIMES,,,Baillargues,,,,,2. Acc. de voiries,,
CSTL_000165,EV 2 parking Cimetière Champ Juvéna,,AVENUE DE LA MONNAIE,,,Castelnau-le-Lez,,,,,11. Parking,,
CSTR_000186,Placette 2 Rue de la Colline,,RUE DE LA COLLINE,,,Castries,,,,,14. Placette de lotissement,,
PIGN_000132,Déchetterie,, ,,,Pignan,,,,,19. Espaces verts autres,,
CSTR_000187,Placette Rue de la Galuste,,RUE DE LA GALUSTE,,,Castries,,3M,,,14. Placette de lotissement,,
,NEW EV 5 Mail Mékong,,,,,Vendargues,,3M,,,,,
,NEW EV 6 Mail Mékong,,,,,Vendargues,,3M,,,13. Placette,,
,NEW EV 7 Mail Mékong,,,,,Vendargues,,3M,,,13. Placette,,
MNTP_000145,École maternelle Madeleine Renaud,19700101,Avenue de Barcelone,Nord-Ouest,Mosson,Montpellier,Non,Commune,3,Non,6. Espaces verts écoles et crèches,8,Oui
LATT_000744,Passage Rue Alberti,,RUE ALBERTI,,,Lattes,,,,,9. Espaces de nature,,
LATT_000758,Passage Massilia-Emporion,,RUE D EMPORION,,,Lattes,,,,,14. Placette de lotissement,,
CNSC_000659,Passage rue de la Vierge,, ,,,Cournonsec,,,,,19. Espaces verts autres,,
,NEW EV 8 Mail Mékong,,,,,Vendargues,,3M,,,13. Placette,,
CSTR_000212,Bassin de rétention Rue des peupliers,,RUE DES PEUPLIERS,,,Castries,,Privé,,,10. Bassins de rétention,,
NEW EV allée du Stade College,,20241002220000,,,,Le Crès,,,,,2. Acc. de voiries,,
CNSC_000013,Transformateur école élémentaire (nom à vérifier),, ,,,Cournonsec,,,,,19. Espaces verts autres,,
LATT_001020,Passage Rue Palladio,,RUE PALLADIO,,,Lattes,,,,,9. Espaces de nature,,
,NEW EV entrée bois rue des Iris,,,,,Jacou,,,,,,,
,NEW Massif2 derrière Salle BOUDES,,,,,Jacou,,,,,,,
,NEW Accot Rond-Point de Saint-Pierre,,,,,Lattes,,,,,,,
,NEW Haie 1 Passage de la résidence Montcalm,,,,,Lattes,,,,,,,
,NEW Haie 2 Passage de la résidence Montcalm,,,,,Lattes,,,,,,,
,NEW Haie Monument aux morts,,,,,Lattes,,,,,,,
NEW Accot. 9 Av. de Montpellier,,,,,,Lattes,,,,,,,
CRES_000143,Accot. 7 Sud  Av. M. d'Arbia,,AVENUE MONTERONI D ARBIA,,,Le Crès,,,,,2. Acc. de voiries,,
,NEW Abord Parc de l'escargot,,,,,Baillargues,,3M,,,13. Placette,,
,NEW Placette rue du contrôle,,,,,Baillargues,,3M,,,13. Placette,,
,NEW Accotement 8 av de Nîmes,,,,,Saint-Brès,,3M,,,2. Acc. de voiries,,
,NEW EV 4 Av. des Sophoras,,,,,Saint-Brès,,3M,,,2. Acc. de voiries,,
,EV 3 Av. des Sophoras,,,,,,,,,,,,
,NEW EV 5 Av. des Sophoras,,,,,Saint-Brès,,3M,,,2. Acc. de voiries,,
,NEW Bassin Mas Rouge,,,,,Lattes,,3M,,,,,
STJV_000232,EV 14 Place du Collège,,AVENUE GEORGES CLEMENCEAU,,,Saint-Jean-de-Védas,,,,,11. Parking,,
STJV_000233,EV 13 Place du Collège,,AVENUE GEORGES CLEMENCEAU,,,Saint-Jean-de-Védas,,,,,11. Parking,,
STJV_000239,EV 6 Place du Collège,,AVENUE GEORGES CLEMENCEAU,,,Saint-Jean-de-Védas,,,,,11. Parking,,
STJV_000240,EV 5 Place du Collège,,AVENUE GEORGES CLEMENCEAU,,,Saint-Jean-de-Védas,,,,,11. Parking,,
LATT_000979,EV 3 Parking Rue du Mail,,RUE DU MAIL,,,Lattes,,,,,11. Parking,,
,NEW Bassin jeunes travailleurs,,,,,Pérols,,SA3M,,,10. Bassins de rétention,,
BAIL_000076,Placette 2 A. Sarrazin,,RUE ALBERTINE SARRAZIN,,,Baillargues,,3M,,,2. Acc. de voiries,,
STJV_000241,EV 4 Place du Collège,,AVENUE GEORGES CLEMENCEAU,,,Saint-Jean-de-Védas,,,,,11. Parking,,
STJV_000245,EV 9 Place du Collège,,AVENUE GEORGES CLEMENCEAU,,,Saint-Jean-de-Védas,,,,,11. Parking,,
STJV_000246,EV 1 Place du Collège,,AVENUE GEORGES CLEMENCEAU,,,Saint-Jean-de-Védas,,,,,11. Parking,,
STJV_000258,EV parking 1 impasse des Cades,,IMPASSE DES CADES,,,Saint-Jean-de-Védas,,,,,11. Parking,,
LATT_000279,EV 6 Parking Av. des Rois de Majorque,,AVENUE DES ROIS DE MAJORQUE,,,Lattes,,,,,11. Parking,,
VNLM_000145,Bassin de rétention des Moures,,BOULEVARD DES MOURES,,,Villeneuve-Lès-Maguelone,,Commune,,,10. Bassins de rétention,,
LATT_000501,EV 6 parking piscine et collège,,CHEMIN DES COURREGES,,,Lattes,,,,,11. Parking,,
LATT_000503,EV 7 parking piscine et collège,,CHEMIN DES COURREGES,,,Lattes,,,,,11. Parking,,
LATT_000748,EV 2 parking Rue Alberti (Face école),,RUE ALBERTI,,,Lattes,,,,,11. Parking,,
LATT_000750,EV 1 parking Rue Alberti (Face école),,RUE ALBERTI,,,Lattes,,,,,11. Parking,,
,NEW Plate bande Parking Ecole,,,,,Cournonterral,,,,,,,
BAIL_000085,EV 1 rue A. Sauvy,,RUE ALFRED SAUVY,,,Baillargues,,,,,2. Acc. de voiries,,
LATT_000834,EV 7 Parking rue des Ch. de Malte,,RUE DES CHEVALIERS DE MALTE,,,Lattes,,,,,11. Parking,,
,NEW Bassin ZAC St Vincent,,,,,Pérols,,Privé,,,,,
,,,,,,,,,,,,,
JACO_000238,EV Accot. Parking Crèche Condorcet,,RUE CARL LINNE,,,Jacou,,,,,11. Parking,,
JACO_000247,EV 3 Alignement Parking Epis C. Flahault,,RUE CHARLES FLAHAULT,,,Jacou,,,,,11. Parking,,
VNLM_000242,Epi 10 Parking Prevost,,PARKING PREVOST,,,Villeneuve-Lès-Maguelone,,,,,11. Parking,,
,NEW Bassin Garosud,,,,,Lattes,,3M,,,10. Bassins de rétention,,
CSTR_000222,Placette Rue du Cade,,RUE DU CADE,,,Castries,,,,,14. Placette de lotissement,,
JACO_000241,EV 9 Alignement Parking Epis C. Flahault,,RUE CHARLES FLAHAULT,,,Jacou,,,,,11. Parking,,
JACO_000248,EV 2 Alignement Parking Epis C. Flahault,,RUE CHARLES FLAHAULT,,,Jacou,,,,,11. Parking,,
VNLM_000043,Abord 4 Rond-Point av. de Palavas,,AVENUE DE PALAVAS,,,Villeneuve-Lès-Maguelone,,,,,2. Acc. de voiries,,
JACO_000249,EV 1 Alignement Parking Epis C. Flahault,,RUE CHARLES FLAHAULT,,,Jacou,,,,,11. Parking,,
VNLM_000207,Abord 2 Rond-Point av. de Palavas,,D 185,,,Villeneuve-Lès-Maguelone,,,,,2. Acc. de voiries,,
CSTR_000257,Placette 3 Lou Castel,,RUE LOU CASTEL,,,Castries,,,,,14. Placette de lotissement,,
CSTR_000262,Placette Sainte Catherine,,RUE SAINTE CATHERINE,,,Castries,,,,,14. Placette de lotissement,,
CSTR_000175,Placette 1 Rue des Olivettes,,RUE DE L'OLIVETTE,,,Castries,,3M,,,13. Placette,,
CSTR_000251,Placette Rue F. Bazille,,RUE FREDERIC BAZILLE,,,Castries,,,,,14. Placette de lotissement,,
JACO_000242,EV 8 Alignement Parking Epis C. Flahault,,RUE CHARLES FLAHAULT,,,Jacou,,,,,11. Parking,,
,NEW Bassin des hangars,,,,,,,3M,,,10. Bassins de rétention,,
,NEW Bassin des hangars,,,,,Saint-Geniès-des-Mourgues,,3M,,,10. Bassins de rétention,,
BAIL_000009,Abord 1 Rond-Point A. de Saint-Exupéry,,AVENUE ANTOINE SAINT EXUPERY,,,Baillargues,,,,,2. Acc. de voiries,,
CSTL_000228,Accot. 1 Av. J. Jaurès,,AVENUE JEAN JAURES,,,Castelnau-le-Lez,,,,,2. Acc. de voiries,,
CRES_000159,Accot. 15 Sud  Av. M. d'Arbia,,AVENUE MONTERONI D ARBIA,,,Le Crès,,,,,2. Acc. de voiries,,
JACO_000244,EV 6 Alignement Parking Epis C. Flahault,,RUE CHARLES FLAHAULT,,,Jacou,,,,,11. Parking,,
CSTR_000002,Placette Allée F. Mansart,,ALLEE FRANCOIS MANSART,,,Castries,,3M,,,14. Placette de lotissement,,
,NEW Trou de Sussargues,,,,,Sussargues,,Commune,,,,,
,NEW Abord,,,,,,,,,,,,
,NEW Piedarbre13 Av. De La Capelado,,,,,Castries,,Région,,,2. Acc. de voiries,,
,NEW Entrée parking av des Razeteurs,,,,,Castries,,Région,,,2. Acc. de voiries,,
,NEW Piedarbre 10 Av. De La Capelado,,,,,Castries,,Région,,,2. Acc. de voiries,,
,NEW Accot.8 Av. De La Capelado,,,,,Castries,,Région,,,2. Acc. de voiries,,
,NEW Abord Route de Montpellier,,,,,Sussargues,,Commune,,,2. Acc. de voiries,,
CLAP_000216,Accot. 6 Nord Rue de la Source,,RUE DE LA SOURCE,,,Clapiers,,,,,11. Parking,,
JACO_000239,EV 11 Alignement Parking Epis C. Flahault,,RUE CHARLES FLAHAULT,,,Jacou,,,,,11. Parking,,
,NEW Accot. 2  Rue de la Roussataio,,,,,Castries,,Région,,,,,
,NEW Bassins de rétention Av. des Cocardières,,,,,Castries,,Région,,,10. Bassins de rétention,,
,NEW Panneaux solaires Av. De La Capelado,,,,,Castries,,Région,,,11. Parking,,
,NEW Accot. 1 Sud Av. Des Cocardières,,,,,Castries,,Région,,,,,
STGN_000032,Devant l'école maternelle,, ,,,Saint-Geniès-des-Mourgues,,,,,6. Espaces verts écoles et crèches,9,
STGN_000043,Parking du stade,, ,,,Saint-Geniès-des-Mourgues,,,,,11. Parking,0,
CLAP_000213,Accot. 5 Sud Rue de la Source,,RUE DE LA SOURCE,,,Clapiers,,,,,11. Parking,,
